title,authors,year,venue,doi,arxiv_id,dblp_key,sources,relevance_score,version_status,access_status,downloaded_file,download_error
A LLM-Powered Agent for Summarizing Critical Information in the Swine Certification Process,Gabriel Rodrigues da Silva; Alencar Machado; Vinícius Maran,2025,Proceedings of the 27th International Conference on Enterprise Information Systems,10.5220/0013473400003929,,,crossref,0.1778,published_conference_version,metadata_only,,
LLM-Based Evaluation Pipeline for Assessing Automatically Generated Responses,Nicole Barbosa Gomes; Jonas Queiroz; Diogo Melo Paes; Ivan R. Guilherme,2025,2025 IEEE/WIC International Conference on Web Intelligence and Intelligent Agent Technology (WI-IAT),10.1109/wi-iat67162.2025.00115,,,crossref,0.1778,published_conference_version,metadata_only,,
AID-Agent: An LLM-Agent for Advanced Extraction and Integration of Documents,Bin Li; Jannis Conen; Felix Aller,2025,Proceedings of the 1st Workshop for Research on Agent Language Models (REALM 2025),10.18653/v1/2025.realm-1.6,,,crossref,0.1778,published_conference_version,metadata_only,,
LLM-MAC: LLM-Driven Multi-Agent Coordination for Generalizable Home Energy Management,Ye Yang; Qingyu Yang; Donghe Li; Li Sun; Liu Sen; Ruosong Liu,2025,2025 44th Chinese Control Conference (CCC),10.23919/ccc64809.2025.11179521,,,crossref,0.1778,published_conference_version,metadata_only,,
Ad Hoc LLM-to-LLM Evaluation Framework,Abdulaziz Almaslukh,2025,"2025 International Conference on Electrical, Communication and Computer Engineering (ICECCE)",10.1109/icecce67514.2025.11257953,,,crossref,0.1778,published_conference_version,metadata_only,,
MALTopic: Multi-Agent LLM Topic Modeling Framework,Yash Sharma,2025,2025 IEEE World AI IoT Congress (AIIoT),10.1109/aiiot65859.2025.11105319,,,crossref; unpaywall,0.1778,published_conference_version,open_pdf_found,,
Integrating Traditional Technical Analysis with AI: A Multi-Agent LLM-Based Approach to Stock Market Forecasting,Michał Wawer; Jarosław Chudziak,2025,Proceedings of the 17th International Conference on Agents and Artificial Intelligence,10.5220/0013191200003890,,,crossref,0.1778,published_conference_version,metadata_only,,
Citation Drift: Measuring Reference Stability in Multi-Turn LLM Conversations,Gokul Srinath Seetha Ram,2025,Proceedings of the Third Workshop for Artificial Intelligence for Scientific Publications,10.18653/v1/2025.wasp-main.20,,,crossref; unpaywall,0.1778,published_conference_version,open_pdf_found,,
An Accountability-Based Architectural Tactic for Agent Cooperation in LLM-Based Multi-Agent Systems,Marco Becattini; Roberto Verdecchia; Enrico Vicario,2025,2025 IEEE International Conference on Big Data (BigData),10.1109/bigdata66926.2025.11402340,,,crossref,0.1778,published_conference_version,metadata_only,,
TransLaTeX: Exposing the Last-Mile Execution Gap in LLM-Agent for Scientific Formatting,Jiawen Lyn; Yvette Graham,2025,Proceedings of The First Workshop on Human–LLM Collaboration for Ethical and Responsible Science Production (SciProdLLM),10.18653/v1/2025.sciprodllm-1.3,,,crossref; unpaywall,0.1778,published_conference_version,open_pdf_found,,
KuaiRand Short Video LLM-Explainable Recommendation System with User Emotion Drift,Chengjun Liu; Yinuo Liu,2025,2025 5th International Conference on Advanced Algorithms and Neural Networks (AANN),10.1109/aann66429.2025.11257602,,,crossref,0.1778,published_conference_version,metadata_only,,
