title,authors,year,doi,arxiv_id,source,screening_stage,decision,reason,version_relationship,evidence_level,screened_date,review_tier
LLMArena: Assessing Capabilities of Large Language Models in Dynamic Multi-Agent Environments,Authors on ACL record,2024,10.18653/v1/2024.acl-long.705,,ACL Anthology,abstract,included,Representative 2024 dynamic multi-agent benchmark.,Formal ACL 2024 version.,仅阅读摘要,2026-08-13,background
Auto-SLURP: A Benchmark Dataset for Evaluating Multi-Agent Frameworks in Smart Personal Assistant,Authors on ACL record,2025,10.18653/v1/2025.findings-emnlp.596,,ACL Anthology,abstract,included,End-to-end evaluation of multi-agent assistant frameworks.,Formal Findings EMNLP 2025 version.,仅阅读摘要,2026-08-13,background
Who Tests the Testers? Systematic Enumeration and Coverage Audit of LLM Agent Tool Call Safety,Chen et al.,2026,,2603.18245,arXiv,abstract,included,Meta-audits completeness of agent safety benchmarks.,Preprint; no formal version verified.,仅阅读摘要,2026-08-13,core-method
"Beyond the Leaderboard: A Synthesis of Tool-Use, Planning, and Reasoning Failures in Large Language Model Agents",Albayaydh et al.,2026,,2607.05775,arXiv,abstract,included,Cross-benchmark failure taxonomy relevant to testing.,Preprint and secondary synthesis.,仅阅读摘要,2026-08-13,background
AgentCollabBench: Benchmarking Process-Level Failures in Multi-Agent LLM Systems,Authors on dataset,2026,,,Hugging Face dataset,abstract/project,watchlist,Relevant diagnostic multi-agent dataset.,Formal paper identity unresolved.,仅阅读摘要,2026-08-13,supporting-benchmark
"Adaptive Adversaries: A Multi-Turn, Multi-LLM Benchmark for LLM Agent Security",Authors on dataset,2026,,,NeurIPS dataset page,abstract/project,watchlist,Relevant calibrated multi-turn security benchmark.,Proceedings metadata pending.,仅阅读摘要,2026-08-13,supporting-benchmark
MUZZLE: Adaptive Agentic Red-Teaming of Web Agents Against Indirect Prompt Injection Attacks,Syros et al.,2026,,,USENIX Security,abstract,included,Formal adaptive web-agent red-team work.,DOI/full-text metadata pending.,仅阅读摘要,2026-08-13,core-method
MATE: Policy-Aware Security Auditing for Mobile Agents via Synthesis-Driven Trajectory Learning,Jiang et al.,2026,,,USENIX Security,abstract,included,Formal policy-aware trajectory auditing work.,DOI/full-text metadata pending.,仅阅读摘要,2026-08-13,core-method
STATE-Bench: Stateful Task Agent Evaluation Benchmark,Microsoft project,2026,,,Microsoft Open Source,project,watchlist,Open stateful enterprise task benchmark.,No formal paper verified.,仅阅读摘要,2026-08-13,supporting-benchmark
AgentLAB: Benchmarking LLM Agents against Long-Horizon Attacks,Authors on project,2026,,,project page,abstract/project,watchlist,Long-horizon adaptive attack benchmark.,Formal metadata unresolved.,仅阅读摘要,2026-08-13,supporting-benchmark
Counsel: A Meta-Evaluation Dataset for Agentic Tasks,Authors on report,2026,,,technical report,abstract/project,watchlist,Meta-evaluation of trajectory critiques.,Formal peer review unresolved.,仅阅读摘要,2026-08-13,background
Can LLM Agents Stick to the Script? A Benchmark for Long-Horizon Consistency in Interactive Narratives,Authors on arXiv,2026,,2608.08160,arXiv,abstract,watchlist,Continuously checkable long-horizon invariants.,Released near cutoff; preprint only.,仅阅读摘要,2026-08-13,supporting-benchmark
Generalizability of Large Language Model-Based Agents: A Comprehensive Survey,Authors on ACM record,2026,10.1145/3794858,,ACM Computing Surveys,abstract/metadata,included,High-quality survey with evaluation recommendations.,Formal journal version.,仅阅读摘要,2026-08-13,background
AgentChaos: Chaos Engineering for Agent Systems via Programmatic Fault Injection,Tan et al.,2026,10.1145/3832783.3837437,2608.06790,arXiv; OpenAlex; paper DOI,full text,included,Direct runtime trigger-verified fault injection for agent systems.,ASE paper and arXiv are one work; Crossref registration pending.,已阅读全文,2026-08-14,core-method
"OrchestraBench: Evaluating Multi-Agent Orchestration Failure Modes, Recovery, and Decomposition Quality",Chen et al.,2026,,2608.05263,arXiv; OpenAlex,full text,included,Direct orchestration failure injection recovery and cascade benchmark.,Preprint; Crossref fuzzy match rejected.,已阅读全文,2026-08-14,core-method
Who Broke the System? Failure Localization in LLM-Based Multi-Agent Systems,Xia et al.,2026,,2607.07989,arXiv; COLM paper manuscript,full text,included,Direct responsible-agent and decisive-step localization method.,Paper states COLM 2026; DOI not verified.,已阅读全文,2026-08-14,core-method
VerifyMAS: Hypothesis Verification for Failure Attribution in LLM Multi-Agent Systems,Qiao et al.,2026,,2605.17467,arXiv; OpenAlex,full text,included,Error-first trajectory hypothesis verification for global and local failures.,Preprint; Crossref fuzzy match rejected.,已阅读全文,2026-08-14,core-method
"AgentDebugX: An Open-Source Toolkit for Failure Observability, Attribution, and Recovery in LLM Agents",Zhu et al.,2026,,2607.18754,arXiv; OpenAlex; GitHub,full text,included,Open end-to-end observability diagnosis and recovery toolkit.,Preprint/software artifact; Crossref fuzzy match rejected.,已阅读全文,2026-08-14,core-method
REFLECT: Intervention-Supported Error Attribution for Silent Failures in LLM Agent Traces,Lin et al.,2026,,2606.09071,arXiv; OpenAlex,full text,included,Tests attribution hypotheses through prefix-preserving intervention and replay.,ICML FAGEN workshop preprint; no DOI verified.,已阅读全文,2026-08-14,core-method
StepFinder: A Temporal Semantic Framework for Failure Attribution in Multi-Agent Systems,Zhu et al.,2026,10.1145/3770855.3817991,2606.03467,Crossref; OpenAlex; arXiv,full text,included,Efficient temporal root-step ranking with a verified KDD version.,ArXiv and KDD 2026 are one work; cite formal version.,已阅读全文,2026-08-14,core-method
Seeing the Whole Elephant: A Benchmark for Failure Attribution in LLM-based Multi-Agent Systems,Chen et al.,2026,10.18653/v1/2026.acl-long.912,,ACL Anthology; Crossref; OpenAlex,full text,included,Full-observability and replayable benchmark for developer-facing attribution.,Formal ACL 2026 open-access version.,已阅读全文,2026-08-14,core-method
AgentTelemetry: A Fault Detection Benchmark and Toolkit for LLM Agent Observability,Balusu,2026,10.1145/3805760.3814931,,Crossref; OpenAlex,abstract/metadata,watchlist,Directly relevant formal observability benchmark but full text not legally located.,Formal ACM version; retain abstract-only evidence.,仅阅读摘要,2026-08-14,core-method
Observability and Fault Injection for LLM-Based Multi-Agent Systems in Software Engineering,Seyedghorban et al.,2026,10.1109/ICST69053.2026.00037,,Crossref; OpenAlex,abstract/metadata,watchlist,Direct formal ICST work but full text not legally located.,Formal IEEE version; retain abstract-only evidence.,仅阅读摘要,2026-08-14,core-method
AgentTrace: Causal Graph Tracing for Root Cause Analysis in Deployed Multi-Agent Systems,Wang,2026,,2603.14688,arXiv,abstract,watchlist,Relevant causal-graph root-cause method; lower priority than selected full-text set.,Preprint only.,仅阅读摘要,2026-08-14,core-method
FALAT: Tracing Failures in LLM Agent Trajectories via Dependency-Guided Search,Rafi et al.,2026,,2606.00765,arXiv,abstract,watchlist,Relevant dependency-guided localization alternative.,Preprint only.,仅阅读摘要,2026-08-14,core-method
Causal Agent Replay: Counterfactual Attribution for LLM-Agent Failures,Shah,2026,,2606.08275,arXiv,abstract,watchlist,Relevant replay-based attribution adjacent to REFLECT.,Preprint only.,仅阅读摘要,2026-08-14,core-method
Agentic CLEAR: Automating Multi-Level Evaluation of LLM Agents,Asaf Yehudai et al.,2026,10.18653/v1/2026.acl-demo.74,,ACL Anthology; Crossref; OpenAlex,full text,included,Direct contribution to agent trajectory diagnosis or evaluator meta-evaluation.,ACL 2026 formal open-access version,已阅读全文,2026-08-14,core-method
AgentDiagnose: An Open Toolkit for Diagnosing LLM Agent Trajectories,Tianyue Ou et al.,2025,10.18653/v1/2025.emnlp-demos.15,,ACL Anthology; Crossref; OpenAlex,full text,included,Direct contribution to agent trajectory diagnosis or evaluator meta-evaluation.,EMNLP 2025 formal open-access version,已阅读全文,2026-08-14,core-method
Aligning Agents via Planning: A Benchmark for Trajectory-Level Reward Modeling,Jiaxuan Wang et al.,2026,10.18653/v1/2026.acl-long.1062,,ACL Anthology; Crossref; OpenAlex,full text,included,Direct contribution to agent trajectory diagnosis or evaluator meta-evaluation.,ACL 2026 formal open-access version,已阅读全文,2026-08-14,core-method
"Automated Structural Testing of LLM-Based Agents: Methods, Framework, and Case Studies",Jens Kohl; Otto Kruse; Youssef Mostafa; André Luckow; K. Schroer; Thomas Riedl; Ryan French; David Katz; M. Luitz; Tanrajbir Takher; Ken E. Friedl; Céline Laurent-Winter,2025,10.1109/bigdata66926.2025.11401679,2601.18827,Crossref/OpenAlex; arXiv; Semantic Scholar,title/abstract/metadata,watchlist,Directly relevant incremental method candidate; detailed synthesis deferred until full text is inspected.,2025 IEEE formal version with 2026 arXiv copy,仅阅读摘要,2026-08-15,core-method
SpecOps: A Fully Automated AI Agent Testing Framework in Real-World GUI Environments,S. Ahmed; Shi Feng; Chanwoo Bae; C. Barrus; Xiangyu Zhang,2026,10.1145/3744916.3787778,2603.10268,Crossref/OpenAlex; arXiv; Semantic Scholar,title/abstract/metadata,watchlist,Directly relevant incremental method candidate; detailed synthesis deferred until full text is inspected.,arXiv preprint and formal ACM record; OpenAlex cross-check pending,仅阅读摘要,2026-08-15,core-method
Assessing and Enhancing the Robustness of LLM-Based Multi-Agent Systems Through Chaos Engineering,Joshua Owotogbe,2025,10.1109/cain66642.2025.00039,,Crossref/OpenAlex; Semantic Scholar,title/abstract/metadata,watchlist,Directly relevant incremental method candidate; detailed synthesis deferred until full text is inspected.,formal IEEE/ACM CAIN 2025 version,仅元数据,2026-08-15,core-method
Agent vs. Agent: Automated Data Generation and Red-Teaming for Custom Agentic Workflows,Ninad Kulkarni; Xian Wu; Siddharth Varia; Dmitriy Bespalov,2025,10.18653/v1/2025.emnlp-industry.62,,Crossref/OpenAlex; Semantic Scholar,title/abstract/metadata,watchlist,Directly relevant incremental method candidate; detailed synthesis deferred until full text is inspected.,formal EMNLP 2025 Industry Track version,仅元数据,2026-08-15,core-method
Towards a Science of AI Agent Reliability,Stephan Rabanser; Sayash Kapoor; Peter Kirgis; Kangheng Liu; Saiteja Utpala; Arvind Narayanan,2026,,2602.16666,arXiv; Semantic Scholar,title/abstract/metadata,watchlist,Directly relevant incremental method candidate; detailed synthesis deferred until full text is inspected.,arXiv preprint; no formal version verified,仅阅读摘要,2026-08-15,core-method
On the Reliability of Computer Use Agents,Gonzalo Gonzalez-Pumariega; Saaket Agashe; Jiachen Yang; Ang Li; Xin Eric Wang,2026,,2604.17849,arXiv; Semantic Scholar,title/abstract/metadata,watchlist,Directly relevant incremental method candidate; detailed synthesis deferred until full text is inspected.,arXiv preprint; no formal version verified,仅阅读摘要,2026-08-15,core-method
GroundEval: A Deterministic Replacement for LLM-as-Judge in Stateful Agent Evaluation,Jeffrey H. Flynt,2026,,2606.22737,arXiv; Semantic Scholar,title/abstract/metadata,watchlist,Directly relevant incremental method candidate; detailed synthesis deferred until full text is inspected.,arXiv preprint; no formal version verified,仅阅读摘要,2026-08-15,core-method
Gaming the Judge: Unfaithful Chain-of-Thought Can Undermine Agent Evaluation,Muhammad Khalifa; Lajanugen Logeswaran; Jaekyeom Kim; Sungryull Sohn; Yunxiang Zhang; Moontae Lee; Hao Peng; Lu Wang; Honglak Lee,2026,,2601.14691,arXiv; Semantic Scholar,title/abstract/metadata,watchlist,Directly relevant incremental method candidate; detailed synthesis deferred until full text is inspected.,arXiv preprint; no formal version verified,仅阅读摘要,2026-08-15,core-method
TelemetrySuffBench: Is Agent Telemetry Sufficient for Failure-Origin Diagnosis?,Yuxuan Zhu; Peng Pu,2026,,2608.07899,arXiv; Semantic Scholar,title/abstract/metadata,watchlist,Directly relevant incremental method candidate; detailed synthesis deferred until full text is inspected.,arXiv preprint; no formal version verified,仅阅读摘要,2026-08-15,supporting-benchmark
